                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      76                  9.8201827059120739E-001                  1.3430817753732718E+000                  3.7140362482895490E+000                 -7.6796144459043525E+000                  3.8298251865761075E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      77                  9.8201824383744407E-001                  1.3430573830477297E+000                  3.7168510195793432E+000                 -7.6750105527708268E+000                  3.8372490168965463E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      78                  9.8201820816575969E-001                  1.3430251966096003E+000                  3.7195730995555740E+000                 -7.6707791237342979E+000                  3.8442081489172493E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      79                  9.8201818436020305E-001                  1.3430039212746923E+000                  3.7226238491126526E+000                 -7.6662330827615932E+000                  3.8518122132990427E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      80                  9.8201814209049176E-001                  1.3429665300830951E+000                  3.7256866014530758E+000                 -7.6619641022304616E+000                  3.8591522429023351E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      81                  9.8201811949480589E-001                  1.3429467338594423E+000                  3.7278150134181249E+000                 -7.6591222931301761E+000                  3.8641287003730969E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      82                  9.8201809749285529E-001                  1.3429275809557348E+000                  3.7304446149091226E+000                 -7.6557591342233025E+000                  3.8701295997100713E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      83                  9.8201806504190225E-001                  1.3428995454420429E+000                  3.7330582796210443E+000                 -7.6526174636928586E+000                  3.8758934280603614E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      84                  9.8201804449165464E-001                  1.3428819165527337E+000                  3.7351253328530798E+000                 -7.6502427159958790E+000                  3.8803421886739948E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      85                  9.8201802365640223E-001                  1.3428641384662432E+000                  3.7372375652372480E+000                 -7.6479277406569484E+000                  3.8847767335256083E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      86                  9.8201800282115004E-001                  1.3428464527262842E+000                  3.7393983578843644E+000                 -7.6456756542628979E+000                  3.8891973860404274E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      87                  9.8201798169761390E-001                  1.3428286128312246E+000                  3.7423554253429634E+000                 -7.6427636653837689E+000                  3.8950776325172227E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      88                  9.8201794635182038E-001                  1.3427989561420071E+000                  3.7458179125922442E+000                 -7.6396766209235301E+000                  3.9016412892592838E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      89                  9.8201791777314640E-001                  1.3427751428101475E+000                  3.7490198267096613E+000                 -7.6370784006047341E+000                  3.9074555160982478E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      90                  9.8201788892615449E-001                  1.3427512453375954E+000                  3.7515198219130572E+000                 -7.6352522485524910E+000                  3.9117933353832020E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      91                  9.8201787443557875E-001                  1.3427392899213888E+000                  3.7533350689672131E+000                 -7.6340057590532489E+000                  3.9148638986818485E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      92                  9.8201785798997998E-001                  1.3427257592142157E+000                  3.7559174422737724E+000                 -7.6323622479416873E+000                  3.9191028719945593E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      93                  9.8201783137194176E-001                  1.3427039391329498E+000                  3.7588488000570721E+000                 -7.6307323026713281E+000                  3.9236799047566926E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      94                  9.8201781102706298E-001                  1.3426873217304620E+000                  3.7615328658208593E+000                 -7.6294107582186186E+000                  3.9277009205478239E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      95                  9.8201778971005560E-001                  1.3426699611722042E+000                  3.7637030073679272E+000                 -7.6284863566188497E+000                  3.9308088562218453E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      96                  9.8201777856548766E-001                  1.3426609035143520E+000                  3.7657512377885674E+000                 -7.6276886006617755E+000                  3.9336684165327376E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      97                  9.8201775963930904E-001                  1.3426455483497601E+000                  3.7684261953726095E+000                 -7.6268093481602044E+000                  3.9372419053603296E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      98                  9.8201774071313042E-001                  1.3426302226171258E+000                  3.7717661857282856E+000                 -7.6259179838923403E+000                  3.9414996877319357E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      99                  9.8201771413643635E-001                  1.3426087431693414E+000                  3.7759053111582022E+000                 -7.6251708334978350E+000                  3.9464220192675707E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     100                  9.8201768755974217E-001                  1.3425872974632762E+000                  3.7795530632333474E+000                 -7.6248232078662168E+000                  3.9504520509977579E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     101                  9.8201767017638386E-001                  1.3425732797025536E+000                  3.7818124380864528E+000                 -7.6247323103372464E+000                  3.9528252309994869E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     102                  9.8201766148470471E-001                  1.3425662717800895E+000                  3.7833517470276163E+000                 -7.6247128997859788E+000                  3.9544002784324239E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     103                  9.8201765279302555E-001                  1.3425592638315964E+000                  3.7859014862473730E+000                 -7.6247518376535055E+000                  3.9569396275338136E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     104                  9.8201763332734004E-001                  1.3425435663524505E+000                  3.7897402783890843E+000                 -7.6250452930130050E+000                  3.9605321515306828E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     105                  9.8201761268114263E-001                  1.3425269037711869E+000                  3.7928852753209967E+000                 -7.6254793993394134E+000                  3.9632860751423276E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     106                  9.8201760235804403E-001                  1.3425185634284920E+000                  3.7950410641370844E+000                 -7.6258407532210484E+000                  3.9651125101190781E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     107                  9.8201759203494543E-001                  1.3425102156622020E+000                  3.7976460220512029E+000                 -7.6263521502238749E+000                  3.9672476251434090E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     108                  9.8201757811402368E-001                  1.3424989444916651E+000                  3.8007545755033592E+000                 -7.6270752174388310E+000                  3.9696869651646880E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     109                  9.8201756419310182E-001                  1.3424876536600376E+000                  3.8055777668475659E+000                 -7.6283572300625551E+000                  3.9733208524213661E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     110                  9.8201753635125832E-001                  1.3424650025832725E+000                  3.8105958379400144E+000                 -7.6299538482326925E+000                  3.9768507493037211E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     111                  9.8201752329802350E-001                  1.3424543426226874E+000                  3.8138507765255394E+000                 -7.6310476353519530E+000                  3.9790894609788658E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     112                  9.8201751024478878E-001                  1.3424436549927579E+000                  3.8177933568964559E+000                 -7.6324281409649180E+000                  3.9817546900773890E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     113                  9.8201749204486222E-001                  1.3424287046256114E+000                  3.8224228231188140E+000                 -7.6341103153159509E+000                  3.9848387665025164E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     114                  9.8201747384493543E-001                  1.3424136946850360E+000                  3.8273288458156025E+000                 -7.6359253806602876E+000                  3.9880960189560857E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     115                  9.8201745332474522E-001                  1.3423966984083633E+000                  3.8324521366748261E+000                 -7.6378202926713508E+000                  3.9915225299307022E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     116                  9.8201743280455489E-001                  1.3423796258027740E+000                  3.8363515442064973E+000                 -7.6392349852196944E+000                  3.9941750893874235E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     117                  9.8201742133614922E-001                  1.3423700521838311E+000                  3.8390956899949238E+000                 -7.6402145302527522E+000                  3.9960672989366834E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     118                  9.8201740986774333E-001                  1.3423604563120461E+000                  3.8431258446231236E+000                 -7.6416253407456001E+000                  3.9988904930643097E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     119                  9.8201738693093188E-001                  1.3423412002037174E+000                  3.8476342242358803E+000                 -7.6431169065685225E+000                  4.0021617680215256E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     120                  9.8201736972832332E-001                  1.3423267067471247E+000                  3.8513568403718033E+000                 -7.6442871479432206E+000                  4.0049466093286963E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                     121                  9.8201735252571465E-001                  1.3423121727270151E+000                  3.8550710452952721E+000                 -7.6453839828696788E+000                  4.0078170420651755E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
